EE01;Carrera;COMISIÓN;D;CAP Capacidades;COM COMPETENCIAS;¿Cómo enseñan los contenidos? Puedes seleccionar más de una;DA Dificultades de Aprendizaje;HT Herramientas Tecnológicas;EVA Tipo de Evaluacion;DEa Afinamiento de Conceptos;¿De qué manera lo hacen? Puedes seleccionar más de una;APR Formas que aprendo
5/9/202414:49:47;IEM;1;ELECTROMECÁNICA I;CAP01a;COM01,COM02,COM03,COM05,COM06;EE01,EE02,EE03,Trabajoenequipoogrupal;DA02a;Aparatosfísicos;EVA01e,EVA01f,EVA02c;DEa02;DEb01;APRa,APRb,APRc
5/9/202414:49:55;IEM;B;ELECTROMECÁNICA I;CAP01c;COM01,COM02,COM04,COM05;EE02,EE03,EE04;DA02b;HT01a;EVA01e,EVA01f,EVA02c;DEa03;;APRa,APRe
5/9/202414:50:30;IEM;A;ELECTROMECÁNICA I;CAP01a;COM01,COM02,COM04,COM05,COM07,COM08;EE02,EE03,EE06;DA02a;HT01i;EVA01e,EVA01j,EVA02c;DEa02;DEb01,DEb04,DEb06;APRc,APRd,APRe
5/9/202414:50:37;IEM;1A;FÍSICA I;CAP03;COM08;EE04;DA03,;HT02;EVA01b,EVA02c;DEa03;;APRe
5/9/202414:50:45;IEM;1A;FÍSICA I;CAP03;COM08;EE05;DA03,;HT02;EVA01c,EVA02a;DEa03;;APRb
5/9/202414:50:52;IEM;A;SISTEMA DE REPRESENTACIÓN;SIEMPRE,Lomencionaeneltranscursodelaclase;COM01,COM02,COM05,COM06;EE01,EE02,EE03,EE06;DA01a;HT01a;EVA01d,EVA01f,EVA02c;DEa01;DEb01;APRa,APRc
5/9/202414:51:21;IEM;1;FÍSICA I;CAP01a;COM01,COM03,COM04;EE02,Trabajoenequipoogrupal,EE07,EE09;DA03,;HT01a,HT01b,HT01e,HT01i;EVA01b,EVA01j,EVA02c;DEa02;DEb01,DEb04,DEb06;APRa,APRb,APRe,APRf
5/9/202414:51:38;IEM;COM1A;FÍSICA I;CAP03;COM01,COM03,COM05;EE01;DA02b;HT01b;EVA01a,EVA01b,EVA01h,EVA01j,EVA02c;DEa03;;APRb
5/9/202414:52:23;IEM;1;FÍSICA I;CAP02a;COM01,COM02;EE07;DA02b;HT01b;EVA01b,EVA02c;DEa02;DEb01;APRc
5/9/202414:54:25;IEM;B;ELECTROMECÁNICA I;CAP01c;COM02,COM04,COM05;EE01,EE02,EE04,EE06;DA03,;HT01i;EVA01d,EVA02a;DEa01;DEb01;APRa,APRe
5/9/202414:55:25;IEM;IEM1A;FÍSICA I;CAP02a;COM01,COM03;EE03;DA03,;HT02;EVA01b,EVA01e,EVA02c;DEa03;;APRb,APRd,APRe,APRf
5/9/202414:56:13;IEM;A;ELECTROMECÁNICA I;CAP01a;COM01,COM02,COM03,COM04,COM06;EE02,EE03,EE06,EE09;DA01b;HT01a;EVA01e,EVA01f,EVA02c;DEa01;DEb01;APRa,APRf
5/9/202415:36:33;ISI;3;SISTEMAS Y PROCESOS DE NEGOCIOS;CAP03;COM01,COM05,Actuarconespírituemprendedor;EE09,EE10;DA02b;HT01a,HT01b;EVA01d,EVA02c;DEa03;;APRa,APRb,APRe,APRf
6/9/202415:59:15;IEM;1;FÍSICA I;AVECES,;COM03;EE01,EE08;DA03,;HT02;EVA01b,EVA01f,EVA01j,EVA02c;DEa02;DEb01;APRb,APRc
6/9/202416:00:25;IEM;A;FÍSICA I;CAP02c;COM01,COM05;EE08,EE10;DA03,;HT02;EVA01b,EVA02c;DEa03;;APRc,APRe
5/9/202415:51:22;IEM;1;ELECTROMECÁNICA I;CAP01c;COM01,COM02;EE02,EE03;DA03,;HT01a;EVA01h,EVA02a;DEa02;DEb01;APRa
5/9/202416:43:49;IEM;A;SISTEMA DE REPRESENTACIÓN;CAP01a;COM02;EE08;DA02a;HT01i;EVA01a,EVA01j,EVA02a;DEa03;;APRa
5/9/202416:44:44;IEM;11:00 a. m.;SISTEMA DE REPRESENTACIÓN;CAP01c;COM02,COM03;EE05;DA01a;HT01a,HT01i;EVA01d,EVA01f,EVA02b;DEa02;DEb01;APRa
5/9/202416:45:03;IEM;1;SISTEMA DE REPRESENTACIÓN;CAP02a;COM01;EE01;DA02a;HT01i;EVA01b,EVA02a;DEa01;DEb01;APRa
5/9/202416:45:40;IEM;A;SISTEMA DE REPRESENTACIÓN;CAP02b;COM03,;EE08;DA02b;HT01a;EVA01b,EVA02a;DEa01;DEb01;APRb
5/9/202416:45:52;IEM;A;SISTEMA DE REPRESENTACIÓN;CAP01b;COM02,COM05;EE02,EE03,EE05,EE08;DA03,;HT01i;EVA01d,EVA02a;DEa03;;APRa,APRf
5/9/202416:45:56;IEM;A;FÍSICA I;CAP02c;COM01,COM02,COM03,COM04,COM05,COM06;EE09,EE10;DA02b;HT01b;EVA01b,EVA02c;DEa03;;APRa,APRc,APRe,APRf
5/9/202416:45:58;IEM;1;SISTEMA DE REPRESENTACIÓN;CAP02c;COM02,COM03;EE08;DA03,;HT01a;EVA01b,EVA01d,EVA01j,EVA02b;DEa02;DEb01;APRa,APRb,APRf
5/9/202416:46:02;IEM;A;SISTEMA DE REPRESENTACIÓN;CAP02b;COM02,COM05;EE03;DA02a;HT01i,Autocad;Láminasyactividades,EVA02c;DEa03;;APRc
5/9/202416:46:06;IEM;A;SISTEMA DE REPRESENTACIÓN;CAP01a;COM02,COM03;EE02,EE05;DA03,;HT01a;EVA01d,EVA01f,EVA02c;DEa03;;APRc
5/9/202416:46:11;IEM;A;SISTEMA DE REPRESENTACIÓN;CAP01a;COM02,COM03;EE01,EE02;DA01a;HT01a,HT01f;EVA01d,EVA01f,EVA01j,EVA02a;DEa01;DEb02,DEb03;APRa,APRc,APRf
5/9/202416:46:18;IEM;A;SISTEMA DE REPRESENTACIÓN;CAP01c;COM01,COM03,COM05;EE01,EE02,EE08;DA01a;HT02;EVA01b,EVA01h,EVA02a;DEa03;;APRa
5/9/202416:46:24;IEM;A;SISTEMA DE REPRESENTACIÓN;CAP01a;COM03;EE02;DA01a;HT01g;EVA01b,EVA02a;DEa01;DEb02;APRb
5/9/202416:47:05;IEM;IEM-A;SISTEMA DE REPRESENTACIÓN;CAP01a;COM01,COM02,COM03,COM04;EE01,EE02,EE08;DA01a;HT01a,HT01f,HT01i,HT01k;EVA01c,EVA01d,EVA01j,EVA02c;DEa01;DEb02,DEb05;APRa,APRe,APRf
5/9/202416:47:15;IEM;IemA;SISTEMA DE REPRESENTACIÓN;CAP01a;COM02,COM03;EE01,EE02,EE07;DA02b;HT01a,HT01d,HT01i;EVA01b,EVA01d,EVA01j,EVA02c;DEa02;DEb01;APRa,APRb
5/9/202416:47:35;IEM;A;SISTEMA DE REPRESENTACIÓN;CAP02c;COM03;EE02,EE04,EE05;DA03,;HT01i;EVA01d,EVA01f,EVA02c;DEa02;DEb02,DEb03,DEb05;APRf
5/9/202416:47:49;IEM;1;SISTEMA DE REPRESENTACIÓN;CAP02c;COM02,COM03;EE05;DA01a;HT01a;EVA01b,EVA01d,EVA02a;DEa02;DEb01,DEb02,DEb04;APRc
5/9/202416:48:17;IEM;A;SISTEMA DE REPRESENTACIÓN;CAP02a;COM03;EE02;DA02a;HT01a;EVA01b,EVA01f,EVA02c;DEa01;DEb01,DEb02;APRf
5/9/202416:49:09;IEM;A;SISTEMA DE REPRESENTACIÓN;CAP01c;COM03,COM04,COM05;EE01,EE03,EE05;DA01a;HT01a,HT01i;EVA01d,EVA01f,EVA01j,EVA02b;DEa01;DEb01;APRc,APRe
5/9/202416:49:37;IEM;A;SISTEMA DE REPRESENTACIÓN;CAP01d;COM03,COM05;EE01;DA01a;HT01a;EVA01h,EVA01j,EVA02c;DEa03;;APRa,APRb,APRe,APRf
5/9/202416:50:21;IEM;1A;SISTEMA DE REPRESENTACIÓN;CAP01b;COM01,COM02,COM03,COM05;EE01,EE02,EE06;DA01a;HT01a,HT01i;EVA01a,EVA01c,EVA01f,EVA02c;DEa01;DEb01;APRa,APRc
5/9/202417:03:29;IEM;IEMA;ELECTROMECÁNICA I;CAP01c;COM01,COM02,COM03,COM04,COM05,COM06,COM07;EE01,EE02,EE03,EE06;DA02a;HT01a,HT01i;EVA01b,EVA01e,EVA02c;DEa01;DEb01,DEb04;APRa,APRc,APRe,APRf
5/9/202418:48:12;IEM;1;FÍSICA I;CAP02d;COM01,COM02,COM04;EE01,EE05,Trabajoenequipoogrupal;DA03,;HT01b;EVA01b,EVA01f,EVA01g,EVA01j,EVA02c;DEa02;DEb03,DEb04;APRb,APRe
5/9/202421:48:00;IQ;A;QUÍMICA;CAP01d;COM01,COM03;EE04,EE06,EE08,EE09;DA02c;HT01l;EVA01a,EVA01b,EVA01d,EVA01f,EVA02c;DEa02;DEb01;APRb,APRc,APRf
6/9/202416:00:39;IEM;A;FÍSICA I;CAP01c;COM01,COM02,COM03,COM05,COM06;EE05;DA02b;HT01b;EVA01a,EVA01b,EVA01d,EVA01f,EVA02c;DEa02;DEb01;APRa,APRb,APRe
6/9/202416:03:46;IEM;A1;FÍSICA I;CAP03;COM01,COM02,COM03;EE03;DA03,;HT01b;EVA01b,EVA02a;DEa03;;APRc
6/9/202416:03:46;IEM;X1;FÍSICA I;CAP03;COM01,COM02,COM03;EE03;DA03,;HT01b;EVA01b,EVA02c;DEa03;;APRc
